toki pona, english
jan li kepeken e nimi ni.jan li wile toki e seme,what does this word mean
jan li lon insa tomo.,Somebody's inside the house.
jan li lon li wile,there are people who want
jan li lukin sama pipi.,People look like ants.
jan li moli,murder
jan li moli e waso.,The person killed the bird.
jan li pona e walo uta.,Someone is having a root canal
jan li pona.,People are good.
jan li seme,n personal traits
jan li suli mute. mani li suli lili. :: People are more important than money. ,
jan li toki kepeken toki pona lon tomo toki. :: People talk in/using Toki Pona in the chat room. ,
jan li wile jo e ma. :: People want to own land. ,
jan lili,n child adj child
jan lili,"n child, kid, daughter, son, small/short/thin/young person"
jan lili en jan suli li toki.,The child and the adult are talking.
jan lili li ken ala moku e telo nasa.,Kids can't drink beer.
jan lili li lukin e jan suli.,Children watch adults.
jan lili li sona ala e ike.,Children are innocent.
jan lili li wile e telo kili.,Children want fruit juice.
jan lili pi jan Keli li musi. :: Keli's child is funny. ,
jan lili pi jan Ken en jan Lisa li suwi. :: Ken and Lisa's baby is sweet. ,
jan lili pi jan sama pi mama,n cousin
jan lili sina li suwi. :: Your baby is cute. ,
jan lili sona,"n student, pupil"
jan lili tu wan :: 3 children ,
jan Lisa li pona. :: Lisa is cool. ,
"jan Lisa o, toki. :: Hello, Lisa. ",
"jan Lisa o, toki. :: Hello, Lisa. ",
jan Lisa taso li kama. :: Only Lisa came. ,
jan lon,n the living
jan lon weka pi sona mi,"stranger, person I don't know"
jan luka tu :: 7 people ,
"jan Mawen o, sina wile ala wile moku? :: Marvin, are you hungry? ",
jan meli lawa,queen
jan meli olin,wife
jan meli sewi,queen
jan meli sewi,goddess
jan Mesiko,n Mexican (person)
jan Mewi,Mary
jan moli,"casualty, dead man, corpse"
jan moli,n the dead
jan moli tawa,"n zombie, walking dead, undead"
jan Mose,Moses
jan mu,animal
jan musi,"n interesting person, amusing person, artist, comedian?, entertainer?"
jan mute,"n crowd, throng"
jan mute lili li kama. :: Some (but not a lot) of people are coming. ,
"jan mute mute mute li kama! :: Many, many, many people are coming! ",
jan nasa,"n fool, strange person, crazy person"
jan nasa utala,"n fighting fool, belligerent drunk"
jan ni li pona lukin :: That person is pretty. ,
jan ni li sama mi. :: That person is like me. ,
jan olin,"n loved one, significant other, partner"
jan pakala,"n injured person, victim"
jan pali,"n worker, employee"
jan pali e kiwen pimeja,iron worker
jan pali ma,"farmer, cultivator of land"
jan pali pi kasi mute,forester
jan pali pi ko ma,potter
jan pali pi moku soweli,butcher
jan pali pi tomo pi moku soweli,butcher
"jan Pawe o, mi wile ala moli. :: Forrest, I don't want to die. ",
jan Pentan li pana e sona tawa mi. :: Brandon teaches to me. ,
jan pi ike lukin,n ugly person
jan pi jan unpa mute,n promiscuous person
jan pi kama sona,n student
jan pi lawa ala,outlaw
jan pi lawa ma,n government official/agent
jan pi ma ante,n foreigner
jan pi ma sama,"n fellow countryman, comrade"
