toki pona, english
MUSI*,"vi play, have a good time, have fun, be funny vt amuse n game, joke, fun, playing, entertainment art, recreation mod artful, artistic, recreational, fun"
mute,mod more(?)
mute,mod many
mute,"augment, improve, nourish"
mute,n amount
mute,mod very
mute,n quantity
mute,more than
mute,mod numerous
"mute :: many, a lot ",
"mute :: mod many, several, very, much, a lot, abundant, numerous, more n amount, quantity vt make many or much ",
mute ala ike,"mod not enough, insufficient"
mute ike,too much
mute ike,mod too much
mute lili,some (a small number)
mute lili,"a few, some, a small number"
mute lili lili,very few?
mute lon tenpo lili,rapidly
mute pona,"mod enough, sufficient"
mute pona,"sufficient, enough"
mute pona,enough
mute seme,how many/much?
MUTE*,mod several
n pi m,fraction n/m
names as predicate modifiers,
nanpa,n number
nanpa,n number
nanpa lili,very few
nanpa pi ilo toki,n phone number
nanpa pi ma tomo,n zip code
nanpa seme,how many times
nanpa weka,zero
nanpa wile,"sufficient, enough"
NANPA*,n number oth -th (ordinal numbers)
nasa ike,"mod raving mad, demented, insane"
nasa lukin,n funny-looking
nasa nanpa,complexity
NASA*,"mod silly, drunk, weird, crazy, foolish, strange, stupid vt drive crazy, make weird, confuse, scramble, annoy(?)"
nasin,n manner
nasin,n doctrine
nasin,n custom
nasin,n road
nasin,computer program
nasin,kind of
nasin,n path
nasin,n system
"nasin :: n way, manner, custom, road, path, doctrine, system, method ",
"nasin :: road, way, doctrine, method ",
nasin ali,The Way of Life
nasin anpa luka luka,in base ten
nasin anpa pi nanpa tu wan,in base 3
nasin ante li pona tawa jan ante.,Different ways are good for different people. Different strokes for different folks.
,
nasin e,have a theory about/that
nasin kama,n means of travel
nasin kama,right (side)
nasin kama pi tawa suno,north
nasin Katolike,Catholicism
nasin kulupu,"n rules, customs, discipline"
,
nasin lawa,"n rights, law, legislation, (law enforcement? from moonshiner)"
nasin li jo e telo kiwen :: the roads are icy ,
nasin linja,orthodox
nasin lukin,ways of looking/seeing
nasin lukin,stairway
nasin lukin,n shape
nasin lukin (pi lipu sona),browser (the program)
nasin ma,national agenda
nasin ma,national habits
nasin mani,"n capitalism, materialism(?)"
nasin mani,capitalism
nasin musi,hedonism?
nasin ni li pona tawa ni.,This rule can be applied to any case.
nasin nimi,?
nasin Pajawi,Baha'i
nasin pali,n communism
nasin pali,Creativity
nasin pi anpa suno,west
nasin pi jan Nijon sama nasin pi jan ali.,Japanese ways are the same as those of everybody
nasin pi jan sewi ala,n atheism
nasin pi kalama toki,phonology?
nasin pi kama suno,east
nasin pi kama suno,east
nasin pi lawa ala,n anarchism
nasin pi sewi suno,east
nasin pi supa mute,stairway
nasin pi supa mute,stairs
nasin pi toki pona :: the ideology behind Toki Pona ,
nasin pi tomo tawa jan ala,?
nasin pilin,"philosophy, way of thinking"
nasin pini,left (side)
nasin pini pi tawa suno,south
nasin pona,"n suitable means, simple path, good path, ""right way,"" taoism"
nasin pona Juju :: Unitarian Universalism ,
nasin pona Lasapali :: Rastafarianism ,
nasin pona pi ilo len,good way …?
nasin Santelija,Santeria
nasin Satan,Satanism
nasin seme,"how, in what way"
nasin sewi,"n religion, spiritual path, philosophy, ""path of righteousness"""
nasin sewi Jawatu :: Judaism ,
nasin sewi Kolisu :: Christianity ,
"nasin sewi ma :: earth religion, e.g. Native American beliefs ",
nasin sewi Puta :: Buddhism ,
nasin sewi Silami :: Islam ,
nasin sin ni li wile kama e ni: nasin sewi en nasin pi lawa ma li tu ala (anu: ...li wan).,neoantidisestablishmentarianism
nasin sinpin,vertical
nasin sitelen,(hand) writing (result not act?)
nasin sitelen,"writing system (alphabet, etc.)"
nasin sona,epistemology
nasin suli,n highway
nasin suli,"street, avenue, boulevard"
nasin supa,horizontal
nasin tawa,reoa travelled
nasin toki,system of language
nasin toki,"grammar (phrase structure, in this case)"
nasin toki,idiom
nasin toki tenpo,grammatical tense
nasin weka (linja) ,"straight, direct path/road"
nasin Wika,Wicca
NASIN*,n way
nena,"n bump, hill, extrusion, mountain, button, nose"
nena kon,n nose
nena kute,n ear
nena lawa,n nose
nena lili (unpa) meli,n clitoris
nena lili pi nena mama,n nipple(s)
nena ma,mountain
nena mama,n breasts
nena meli,n breasts
nena palisa,trunk (of elephant)
nena sike meli,n breasts
nena sinpin,tip of the nose
nena suli li pana e ko seli.,A volcano is erupting.
nena unpa meli,n clitoris
nena uta,teeth
NENA*,"n bump, lump, hill, button, mountain"
ni ali,"phr all these (here), everything shown"
ni li ike tawa mi.,That is bad to me. I don't like that.
ni li jan lili ona pi nanpa tu.,This is her second child.
ni li jan seme?,Who is that? Who is this?
ni li ken la,if possible
ni li kule seme?,What color is that?
ni li lon,"absolutely, completely"
ni li musi ala musi? musi. :: Is that funny? Yes. ,
ni li pilin lete mute. :: This is very cold. ,
ni li pilin seli lili. :: This feels warm. ,
ni li pini la,After this
ni li pona tawa mi.,That is good to me. I like that.
ni li pona tawa mi. :: That is good to me. / I like that. ,
ni li pona:,fortunately?
ni li tan,"that is why, therefore"
ni li tenpo suno pona sina,happy birthday
ni li tenpo suno pona sina,Happy birthday
ni li tenpo suno sina,Happy birthday
NI*,"mod this, that n this one, that one"
nimi,lexeme
nimi,"n word, name"
"nimi ""lon"" li pona ala tawa mi.","I struggle with the word ""lon."" ""Lon"" is not easy for me."
"nimi ""lon"" li pona ala tawa mi. :: ""lon"" is not easy for me. ",
nimi ala la,namelessly
nimi ante,"modifier, adjective?"
nimi ante,modifier
nimi ante ,modifier
nimi ante nimi,adjective
nimi ante pi nimi kama,adverb
nimi ante sinpin ,pseudo preposition
nimi e,is named
nimi ijo,noun
nimi jan,n first name(?)
nimi kama,verb
nimi kama jo,"object (direct, indirect)"
nimi kama kepeken nimi 'e',transitive verb
nimi kepeken @ :: email ??,
nimi lawa,keywords
nimi lawa,head word (in a phrase)
nimi lawa,subject (gram)
nimi li ken li nasin ale,?
nimi li ken wan toki,sentence is grammatical
nimi lili,preposition
nimi lili (tawa),abbreviation (for)
nimi lupa,hyperlink
nimi mi li Ken. :: My name is Ken. ,
nimi mi li Pepe. :: My name is Pepe. ,
nimi mi seme,What words of mine?
nimi nimi,noun
nimi olin,"n pet-name, affectionate appellation"
nimi open,hyperlink
nimi open,url
nimi pali,verb
nimi pali,verb
nimi pali,verb
nimi pali,n verb
nimi pali ante,transitive verb
nimi pali pi ante ala ,intransitive verb
nimi pali pini,intransitive verb
nimi pi pali ala,"non verb, other kind of word"
nimi pi poka lawa,unofficial words (e.g. name adj)
nimi pi toki pona li utala toki e nimi ante,?
nimi poka,modifier
nimi poki (lili),particle (gram)
nimi sina o sewi,Hallowed be your name
nimi sinpin,preposition
nimi sinpin,preposition
nimi sinpin,preposition
nimi sinpin,neologism
nimi tawa,hyperlink
nimi toki,word spoken
nimi toki lili,abbreviated language names
nimi wan,conjunction
NIMI*,n word
NOKA*,"n leg, foot"
"numbers (numerals) as modifiers (sike, nanpa)",??
o a!,[generic exclamation?]
o awen pona,stay well
o awen. :: Wait. ,
o jo e sijelo pona,to your health!
o kalama ala!,Shh! Silence! Don't make noise! Quiet! Hush!
o kama e ni,remember!
o lili ala!,don't be a baby!
o lukin e ni.,Watch this. Check this out. Look at this.
o lukin e pipi loje ni. :: Look at that red bug. ,
o lukin pona!,attention!
o moli e pipi kepeken palisa. :: Kill the roach with the stick. ,
o olin e jan poka. :: Love thy neighbour. ,
o open e lupa. :: Open the door. ,
o pali pona awen,? Continue to do good?
o pana e pona tawa ma.,Love the earth. Take care of our planet.
o pana e sike tawa mi.,Give me the ball. Pass me the ball.
o pana e sitelen ma tawa mi.,Give me the map.
o pana e suwi tawa mi!,Give me a lollipop!
o pilin e nena.,Touch the button.
o pilin e uta mi kepeken uta sina.,Kiss me.
o sona ala. o pali.,Stop thinking. Do stuff.
o sona e sina!,Know thyself!
o tawa ma tomo poka jan pona sina.,Go to the city with your friend.
o tawa musi poka mi!,Dance with me!
o tawa pona,Good luck! Godspeed!
o tawa tomo sina.,Go home. Go to your place.
o tawa!,Go!
o toki ala!,don't worry!
o tu.,Break up. Split apart. Divide yourself/selves. Separate.
o wan!,Unite! Come together!
o weka e jan lili tan ni.,Take the kid out of here. Remove the kid from here. Get the children out.
o weka e len sina.,Remove your clothes. Undress.
o weka e mi!,Leave me alone!
o weka tan mi!,Get away from me!
O*,sep (vocative or imperative) interj hey! (calling somebody's attention)
oko,n eye
oko mi li lukin pona.,I have good vision. I can see well.
oko sina li pona lukin,You have beautiful eyes. Your eyes are pretty.
OKO*,n eye
olin e jan mute,vi be polyamorous
olin e meli :: to love women ,
olin e meli e mije :: to love women and men ,
olin e mije :: to love men ,
olin pi unpa ala,platonic love
olin suli,perpetual devotion
olin suli li awen.,Old love never rusts.
olin unpa,sexual attraction
OLIN*,n love mod love vt love (a person)
"ona anu jan ante li ike? :: Is he bad, or is it the other person who's bad? ",
ona li jan pona pi kalama musi. :: He is a good musician. ,
ona li jo e seme? :: What does he have? ,
ona li kama tawa ma mi.,He's coming to my country.
ona li kama tawa tomo mi.,He came over. He came to my house.
ona li kama wan tawa meli ona,marry
ona li kule e tomo tawa.,He's painting the car.
ona li lawa e jan tawa ma pona. ,He led people to the good land.
ona li lon ala lon tomo? :: Is he in the house? ,
ona li lon sewi mi. :: He is above me. ,
ona li lukin e pipi. :: He's watching the bug. ,
ona li lukin sama pipi. :: He looks like a bug. ,
ona li moku e kili. :: She's eating fruit. ,
ona li pali e musi kepeken toki,she makes amusing things using language
ona li pali e musi pi kepeken toki,she makes linguistically useful amsuing things
ona li pali e ni kepeken nasin seme? :: How did she make that? ,
ona li pali musi kepeken toki,she acts amusingly using language
ona li pona e ilo. :: She's fixing the machine. ,
ona li pona li lili. :: It is good and is small. ,
ona li tawa ala tawa ma ike?,Did he go to the evil land?
ona li tawa ala tawa ma ike? :: Did he go to the evil land? ,
ona li tawa ala telo. :: He didn't go to the lake. ,
ona li tawa e len mi.,She moved my clothes.
ona li tawa e len mi. :: She moved my clothes. ,
ona li tawa sewi kiwen.,She's going up the rock. She's climbing the rock.
ona li tawa sewi kiwen. :: She's going up the rock. ,
ona li wile ala kute e ni. :: He shouldn't hear this. ,
ona li wile jo e ilo. :: He would like to have a tool. ,
ona li wile mute e ni. :: He wants that a lot. ,
ona li wile pakala e pipi. :: He wants to squish the spider. ,
"ona mute :: they, them ",
ona mute li maka insa poki,? maka?
ona mute li nasa e jan suli. :: They drove the adults crazy. ,
ona mute li tawa utala,They're going to war.
ona mute li tawa utala :: They're going to the war. ,
ona mute li utala toki. :: They are arguing. ,
ona sama,"him self, his own"
ONA*,"n he, she, it, they mod her, his, its, their"
Once upon a time (past),tenpo ijo la
open ala,"vi close vt close, seal"
open la,"phr at the outset, to begin with"
open pi sike suno sin,birthday
open sinpin,door in the side
open suno,"sunrise, dawn daybreak; east; right"
OPEN*,"vi begin, commence, open vt turn on, begin to, commence, open, start, start to"
pakala,"n error, fault, mistake"
pakala,n destruction
pakala ala,"n help, assistance"
pakala seli,burn up (or down)
PAKALA*,"interj damn! fuck! n destruction, mistake, blunder, accident, damage, pain? vt damage, destroy, injure, botch, screw up, bungle, spoil mess up, ruin, hurt, break vi be messed up, be ruined, be broken, screw up, fall apart, break"
pali,vi function
pali,vt make
pali,mod operating
pali,vt do
pali,cultivate
pali,"care for, cultivate, raise (plants, animals)"
pali ala :: not working ,
pali ala pi pali mute,karma
pali awen,job
pali e ijo tawa,vt help
pali e ike tawa,"vt to do bad things to, to show disrespect for"
"pali e ike tawa :: to do bad things to, to show disrespect for ",
pali e kasi nasa,do (smoke) weed
pali e kasi nasa,"""do"" weed? Roll a joint, fill a pipe?"
pali e moku,vi do the cooking
pali e sike,cast a circle (wicca)
pali e sike mama,lay an egg
pali e sinpin pona,smile
pali e sinpin pona,vi smile
pali e sitelen,to take a picture
pali e soweli,tend flocks
pali e toki linja,spin a yarn. Tell a tale
pali e toki pi jan sewi,did what the Lord said
pali e uta suwi,smile
pali ike,"bad act, misdeed"
pali ike,sin
pali insa ma,work the land
pali kalama musi,make music
pali kulupu,"n collaboration vi work together, collaborate"
pali li ike tawa mi.,I'm lazy. I don't like work.
pali li pana e sona.,One learns by experience.
pali musi,n hobby
pali musi,work of art
pali musi e,make fun of
pali musi kiwen,statue
pali musi sijelo,to exercise
pali mute,karma
pali mute,?
pali nanpa,n mathematical operation
pali nanpa,"aritmetical operations, formulae"
pali nanpa poka,addition?
pali olin,devotion
pali olin tawa,be devoted to
pali pi ilo nanpa,computer work
pali pi tenpo awen,part-time work
pali pi tenpo awen,?
pali pi tomo pi telo nasa,bartender
pali pona :: Order ,
pali pona a,nicely done!
pali pona li lawa tawa lon.,Good work is most important in life. Order is half of life.
pali pona li lawa tawa lon. :: Good work is most importand in live. / Order is the half of the live. ,
pali sewi,worship
pali sewi tawa,worship
pali sitelen,try to write
pali suli,adventure v/mod
pali suli,adventure
pali tawa,"care for, attend to"
pali tawa,try to
pali weka,try to get away
PALI*,"vi act, work, build vt do, make, create, build mod working, work-related, operating, active n activity, occupations, deed, work, project"
palisa (mije),n penis
palisa kiwen walo,(rib)bone
palisa lawa,"shepherd's crook, crozier"
palisa li lawa e mije.,A man's penis controls him
palisa lili noka,n toes
palisa luka,finger/ arm?
palisa luka,n finger
palisa mije,n penis
palisa moli,arrow
palisa pi kama jo kala,fishing pole
palisa seli,flaming sword
palisa sike,helicopter
palisa sina li kiwen :: your cock is hard ,
palisa suli utala,spear
palisa tawa,arrow
palisa tawa :: vibrating dildo ,
palisa tawa :: vibrating dildo ,
palisa uta,n tongue
palisa uta :: tongue ,
PALISA*,"n rod, branch, stick, pointy thing, long mostly hard object"
pan,n grain
pan,"cereal grain product (bread, breakfast food, etc.)"
pan,n pasta
pan pi sike mama waso,waffles
PAN*,"n bread, cereal, rice"
pana,"vt emit, give off"
pana,n exchange
pana … selo,drive out
pana a lipu (lon supa sewi) ,deal
pana awen,"attach, tie, bind"
pana awen,"affix, tie"
pana e … kama jo e mani,sell
pana e ijo mute tawa seli,"yajna, sacrifice"
pana e jaki tan nena kon,vi blow nose
pana e jan lili,vi give birth (event)
pana e jan lili,gave birth to
pana e jan lili,beget
pana e jan lon pali tawa ma,send a person to work in a country?
pana e kalama musi,sing a song
pana e kama pona tawa X,?made X feel good?
pana e ko jaki,"vi shit, poop"
pana e ko pi pilin pona,?laugh?
pana e kon (pi pilin) pona,vi laugh
pana e kon jaki,vi fart
pana e kon pi pilin pona,laugh`
pana e kon pona,laugh
pana e kon seli tawa,vt to heat (as in a house)
pana e lipu toki,translate
pana e mani tan ni: … wile jo ---,… buys ---
pana e mani tawa,"to buy, to pay"
pana e mani… kama jo e…,buy
pana e moku tawa,to feed (sb/sth)
"pana e moku tawa :: to feed, nourish ",
"pana e moku tawa :: to feed, nourish ",
pana e nasa nanpa,?
pana e nimi tawa,give a name to
pana e nimi X,"use the word, give the name"
pana e nimi X: Y ,name X Y
pana e oko telo ,cry
pana e palisa lon lupa,vt penetrate
pana e palisa uta lon,vt lick
pana e pilin ike,"vt irritate, put in a bad mood, annoy"
pana e pilin pona tawa,"vt send positivity to, make feel good, encourage, comfort"
pana e pini pi tenpo pi jan lawa ala,wipe out these lawless people?
pana e pona,vi help
pana e pona tawa,help
pana e pona tawa,bless
pana e sewi toki,make a covenant
pana e sitelen ike,?
pana e sitelen ike,had evil thoughts?
pana e sitelen insa sijelo,put a mark on the body
pana e sona,"vi teach, give knowledge, tell a story"
pana e sona ni tawa,"notify, warn"
pana e sona pona lon,"mod accurate, exact"
pana e sona pona lon,is precise about
pana e sona sama,express the same meaning
pana e suno,put a window
pana e telo (walo) mije,vi ejaculate
pana e telo jelo,"vi pee, urinate"
pana e telo oko,"vi to cry, weep"
pana e toki pi X,talk about X
pana e toki sewi,pray? Preach? Prophesy?
pana e toki tan... tawa...,vphr translate
"pana e uta (tawa jan, lon ijo)",vt to kiss
pana e uta lon lupa (meli),vt to perform cunnilingus
pana e uta lon palisa,vt to fellate
pana e wile (tawa jan),to cast a spell (on someone)
pana e X sama ala pi Y,separate /distinguish X from Y
pana en jan lawa li pana tawa meli,?
pana lon,rescue
pana lukin,vt touch
pana lukin la,for example...
pana nasin pona tawa,bless
pana pi toki sewi,praying? Preaching?prophesying
pana pi wile jan tawa jan sewi,Islam
pana poka,bring together
pana sewi,cleaning?
pana sina,take
pana sona,v teach
pana tawa,allot
pana tawa ,bring
pana wawa :: BDSM ,
pana wile ala,copyright
pana… insa,place in
PANA*,"vt give, send, place, release, emit, put, cause, release n transfer, giving, exchange"
parentheses,mun lili
"pay, buy",pana e mani tawa
peace,utala ala
"philosopher, savant",jan pi sona ali
phonology,sona pi kalama toki
"phrase, sentence",kulupu nimi
pi,sep of
pi … pi …,"""and"" in complex nounphrases"
pi jan seme,mod whose
pi lukin ala,invisible
pi ma ante,mod foreign
pi mute seme,how much
pi pali lili,easy
pi pali mute,difficult
pi pona mute,better
pi weka kon,mod breathtakingly
PI*,"sep belonging to, ""of"""
pilin,n emotion
pilin,v feel n feelings
pilin ala,meditate (Buddhist)
pilin ala,"sense, concept, meaning"
pilin ala,"mod indifferent, unfeeling"
pilin ala lon ali,subdue all senses
pilin ale,"n heart, mind, spirit, feelings"
pilin ali,"sense, concept"
pilin ante,magical
pilin e ike jan,"vt to pity sb, feel bad for sb"
pilin e moli jan,vt to mourn sb
pilin e nena mama kepeken uta,kiss breasts
pilin e pona insa,meditate
pilin e weka jan,vt to miss sb
pilin ijo,vphr to think about sth
pilin ike,"v fear n fear, anxiety, discomfort, pain"
pilin ike,"vi feel bad, feel sad, feel depressed, feel unhappy, bitter, discontented, grumpy n fear, pain, nausea"
pilin ike lon kulupu,vi be timid/shy n timidity
pilin ike mute,be seriously ill
pilin ike nanpa luka tu,feel bad 7 times over (be punished…)
pilin ike tan,vt fear
"pilin ike tan :: be afraid of, sad because of, regret, be offended by ",
"pilin ike tawa :: to have negative feelings for, be upset at, angry at, hate, resent ",
"pilin ike tawa :: to have negative feelings for, be upset at, angry at, hate, resent ",
"pilin ike wawa :: to have intense negative feelings, be pissed off, furious ",
pilin insa,intuition
pilin lon,think about
"pilin nasa :: drunk, high ",
"pilin nasa :: to feel silly, strange, weird, crazy, drunk, high ",
pilin nasa lawa,be confuswed
pilin pi pali pini pakal,regret
pilin pi pali pini pakala,n regrets
pilin pi pali pini palaka,?
pilin pona,"n freedom, pleasure"
pilin pona,mod happy
pilin pona,"vi feel good, be happy, be content, enjoy oneself, be comfortable n fidelity?, trustworthiness?"
pilin pona li pana e sijelo pona. :: Positive feelings grant good health. Mind over matter. ,
"pilin pona mute :: to feel great, amazing, awesome ",
"pilin pona tan :: to feel good because of, to enjoy ",
pilin sama,"vt agree with vi agree, feel the same way, think so too"
pilin sijelo pi jan sewi,salat
pilin sitelen,literalist
"pilin wawa :: to feel strong, energetic, excited, confident, proud ",
pilin wawa (unpa) :: orgasm ,
pilin wawa e monsi,vt spank
PILIN*,"n heart, feeling(s), emotions, idea, thought, meaning (of a word) vt sense, touch, feel, think vi think"
"Pilipina :: Philipines, Tagalog ",
pimeja laso :: blueish black ,
pimeja li lon :: it is night ,
pimeja loje,brown
pimeja seli,?
pimeja seli,shadow
PIMEJA*,"mod dark, black vt darken n darkness, shadows"
pini,mod done
pini,n end
pini,mod finished vt finish
pini,mod past
pini,glottal stop?
pini,n tip
pini ,full (of container)
pini (a),"at last, finally"
pini e insa,fill
pini kalama,glottal stop
pini lape,vi wake up
pini len e,"bandage, bind up"
pini li pona la ale li pona.,If the end is good then everything is good.
pini ni,after that
"pini palisa :: glans, head of the penis ",
pini pi nena mama :: nipples ,
pini pi palisa luka,n fingertip
pini pi sike sune :: sylvester ,
pini pi tenpo suno la,at the end of the day
pini sona,forget
pini suno,"sunset, dusk, evening; west, left"
PINI*,"n end mod completed, finished, past, done, ago, over vi end, cease vt end, close, stop, turn off, extinguish"
pipi jaki,cockroach
pipi kon pi ko suwi,bee
pipi kule,n butterfly
pipi kule,butterfly
pipi li lon ala lon poka mi? :: Is a bug beside me? ,
pipi li lon anpa mi. :: The bug is underneath me. ,
pipi li lukin li unpa. :: The bug looks and has sex. ,
pipi li moku ala moku e kili? :: Are the bugs eating the fruit? ,
pipi li moku e kasi. :: Bugs eat plants. ,
pipi li moku e mi. :: The mosquito bit me. ,
pipi li moli. :: The bug is dead. ,
pipi li wile moku e telo. :: The bug is thirsty. ,
pipi lili,germ
pipi linja,lice
pipi loje,cockroach
pipi lon kasi,"n grasshopper, locust"
pipi mute,ant
pipi mute,ant
pipi pi kalama musi,"grasshopper, cicada"
pipi pi pali mute,ant
pipi pi tomo nena,ant
pipi pi tomo nena kiwen,termite
pipi pimeja en loje,?
pipi pimeja en loje,ladybird.bug
pipi pona lukin lon kon,butterfly
pipi seme li pakala e sina? :: Which bug hurt you? ,
pipi suwi,grasshopper
pipi suwi,grasshopper
PIPI*,"n insect, bug of any kind (ant, cockroach, grasshopper, spider, etc.)"
place vt pana,
plant n kasi,
play vi musi,
playing n musi,
Please,o tawa!
poka,mod neighboring
poka,almost
poka,more than
poka ala,far
poka ala,"without, not with"
poka ala,without
poka e,"attach, connect add"
poka eX lon Y,attach X to Y
poka la,besides
poka mi,"right here, next to me, with me, by my side, at my side"
poka mi li pakala.,My hip hurts.
poka ni la,by the way
poka pi kama suno,east
poka pi kama suno / ma kama sewi suno,east
poka pi nanpa tu,right side
poka pi nanpa wan,left side
poka pi sinpin lawa,cheek
poka pi suno kama,right (side)
poka pi suno weka,left (side)
poka pi weka suno,west
poka pi weka suno,west
poka pilin (heart side),left
poka pilin ala,right
poka tawa,near
poka telo,"n beach, seashore"
poka telo,"n waterside, the beach mod seaside"
poka telo,beach
poka telo linja,river bank
POKA*,"n side, hip prep next to, in the accompaniment of, with, alongside mod neighboring, nearby"
poki,n glass
poki,n container
poki,"category, class, tupe (classification)"
poki kama,categorize
poki kiwen suli,ark
poki kon,n lung(s)
poki lete,n refrigerator
poki lete,refrigerator
poki ni li lon jaki.,That bottle is in the dirt.
poki pi telo seli,bathtub
poki pi telo seli,bath tub
poki pi telo seli,bathtub
poki sama lipu,plate (dining)
poki seli,"n oven, microwave"
poki telo,"n sink, bathtub"
poki wawa,(electric) battery
POKI*,"n container, bowl, glass, cup, box, bottle etc."
"political meeting(?), manifesto(?), (ad)sign(?)",sitelen selo
pollute vt jaki,
pollution n jaki,
pona,mod nice
pona,interj OK
pona,vt make good
pona,interj cool!
pona,mod correct
pona,vt fix
pona,value
pona,glory
pona ala,difficult
pona e A tawaw B,attach A to B
pona e pilin jan,"vphr cheer sb up, make sb happy"
pona la,"happily, fortunately"
pona la,fortunately
pona lukin,"mod pretty, good-looking, beautiful, handsome, attractive"
pona lukin,mod pretty
pona moku,"mod delicious, tasty"
pona mute,very simple
pona mute,favor
pona nasa,"magical, strangely different"
pona pali ,easy (to do)
pona pilin,"mod sweet (person), pleasant, agreeable, nice"
pona suwi,"mild, gentle"
pona tawa ala,superfluous (?)
pona tawa ma,?
pona unpa,"mod sexy, good in bed"
pona! mi kin tawa ma Elopa.,Cool! I also went to Europe.
PONA*,"mod good, simple, positive, nice, correct, right n simplicity, good, positivity interj great! good! thank you, thanks! yay! hooray! OK! cool! yay! vt fix, repair vi to be well, to be OK"
"remove, get rid of",weka
right (?) side,luka (pi) nanpa tu
sama,n equality
sama,mod equal
sama ala,mod different
sama ala,vt be unlike
sama la,"similarly, in the same way, likewise"
sama li ike.,Equality is bad.
sama lukin,mod similar in appearance
sama pi soweli Sukosi.,like Scottish animals
sama poka kalama musi,keep/be in time with the music
SAMA*,"prep as, like mod same, similar, equal vi seem"
seli,vt cook
seli,mod cooked
seli,n fire
seli,n vt heat
seli,hot
seli,vt to burn
seli e moli,vt cremate
seli li lon la mi pana e telo tan selo mi.,When it's hot I sweat.
seli li lon.,It's warm/hot.
seli lili,warm
seli lili li lon.,It's warm.
seli mute li lon.,It's very hot.
seli suno,the sun's heat
seli suno li seli e tomo mi.,The sun's warmth heats my home.
SELI*,"vt heat, warm up, cook, burn mod warm, cooked n warmth, heat, fire"
sell,pana
selo,n peel
selo,outside
selo,n surface(? supa?)
selo,n skin
selo kasi,"bark (of tree), straw"
selo lon pini palisa,n foreskin
selo mi li wile e ni: mi pilin e ona.,My skin itches. My skin wants this: I touch it.
selo pi poka tu tu,n square
selo pi poka tu tu,n square
selo sike,"n circumference, perimeter"
SELO*,"n bark (of a tree), outside, external surface, skin, shell, shape, peel"
"seme :: oth what, which, wh- (question word) ",
"seme :: what, which (used to make question words) ",
seme li lon poka mi?,What is beside me?
seme li lon tomo mi?,What is in my house?
seme li moku e kili mi?,What is eating my fruit?
seme li pona tawa sina?,What do you like?
seme li utala e sina?,What attacked you?
seme tenpo,mod when
SEME*,"mod which, what n what"
send vt pana,
"servant, domestic",jan plai pona
seslo oko,eyelid?
sewi,prep on
sewi,mod formal
sewi,mod elevated
sewi,over
sewi,n high
sewi,mod religious
sewi,n top
sewi,mod up
sewi,sky
sewi,top
sewi,get up
sewi,mod superior
sewi e … kepeken luka,"pick up, lift, raise"
sewi kon,sky
sewi kon,the heavens
sewi kon,sky (heavens)
sewi kon,heavens
sewi kon,Heaven
sewi li laso.,The sky is blue.
sewi monsi,"n upper back, shoulders"
sewi pi sinpin lawa,n forehead
sewi pona,heaven
sewi sijelo,top of the body
sewi tomo,roof
SEWI*,"n above, roof, top, sky mod high, superior, elevated, religious, formal prep above, on, over vt worship, adore, win, raise, lift"
"Shamanism, White magic",nasin wawa
sign (vt),sitelen e nimi lon lipu
sijelo,n physical state
sijelo ali insa ma,everybody in the world
sijelo pona,healthy
sijelo pona,healthy
sijelo toki,corpus
SIJELO*,"n body, health, physical state"
sike,n circle
sike,"about, concerning?"
sike,encircle
sike,"about, concerning"
sike,n sphere
sike kili,coconut
sike kiwen mani,coin
sike kon suli,"n sun, sunshine"
sike la,"periodically, from time to time"
sike luka,"embrace, hug"
sike mama,n egg
sike mama waso,n egg
sike mije,n man's testicles
sike moli wawa,"n grenade, bomb"
sike nena,crown
sike nena,crown
sike noka,n soccer ball (football UK)
sike noka,football (i.e. soccer)?
sike pi kon insa,n balloon
sike pi pipi linja,NITS
sike selo,football
sike sewi laso,"sky, firmament"
sike sin e suno,has a birthday
sike suno,n year
sike suno mute,"n era, epoch, century"
sike supa,disk
sike tu,bicycle
sike tu supa,recumbent bicyvle
sike walo,egg
SIKE*,"n ball, wheel, circle, sphere, cycle mod round, cyclical"
kalama ala,n silence
sama la,"similarly, likewise"
sin,mod more(?)
sin,mod fresh vt freshen
sin ala,old
sin ala,"not new, old"
sin e X tawa Y,add X to Y
sin en ante li sin e lawa li pana e sona.,Novelty and change freshen the mind and bring insight.
sin li sama,and so on
sin li sama,and so on
SIN*,"mod new, fresh, another, more vt renew, renovate, freshen"
sina jo e kili anu telo nasa?,"Do you have the fruit, or is it the wine that you have? "
sina jo e tan,You are right
sina kama anu seme?,Are you coming or what?
sina kama e ni: mi wile moku.,You caused this: I want to eat. You made me hungry.
sina kama jo e jan pona lon ni.,You will get friends there.
sina kama tan ma seme?,Which country do you come from?
sina kama tan seme?,Why did you come?
sina ken ala ken kama? ,Can you come?
sina ken ala ken lape?,Can you sleep?
sina kepeken ala kepeken e ni? :: Are you using that? ,
sina lon ala lon ma tomo Wankuwa? :: Do you live in Vancouver? ,
sina lon ma tomo seme? :: What city do you live in? ,
sina lon seme? :: Where are you? ,
sina lon seme? :: Where are you? ,
sina lukin ala lukin e kiwen? :: Do you see the rock? lukin Yes lukin ala No ,
sina lukin ala lukin e sitelen tawa X-Files? :: Do you watch The X-Files? ,
sina lukin e jan seme? :: Whom did you see? ,
sina lukin e pipi. :: You're watching a bug. ,
sina lukin e seme? :: What are you watching? ,
sina lukin sewi e suno. :: You look up at the sun. ,
